slang_sentence,normal_sentence,slang_term,tone,difficulty,is_hard_negative
TPTB are taking forever,The people that be are taking forever,TPTB,sarcastic,clear,True
Just got tickets to the festival WYLEI it's gonna be lit,Just got tickets to the festival and it's going to be extremely exciting,WYLEI,hype,ambiguous,False
I'm lowkey hungover and my VSC is going off,I'm subtly hungover and my vibe shift curve is going off,VSC,deadpan,ambiguous,False
You're such a WEP for picking me up from the airport,You're such a wonderful person for picking me up from the airport,WEP,affectionate,edge,False
Talking to you hits different at night,It feels more intimate and special when I talk to you at night,Hits Different,dramatic,clear,False
You're my BSF for keeping it real on this post,You're my best sister friend for being honest on this post,BSF,playful,clear,False
"NMU, can't believe you posted that again","Not my universe, I am annoyed you posted that again",NMU,annoyed,clear,False
This fire track is on repeat,I am continuously listening to this excellent song,on repeat,playful,ambiguous,False
"Ugh, this clickbait site is such a content farm",This website is only producing low quality articles for advertising revenue,Content Farm,annoyed,clear,False
I'm lowkey exhausted but imtm for the gaming session tonight,I'm secretly exhausted but in the mood for the gaming session tonight,IMTM,deadpan,ambiguous,False
I had to stand ten toes on the scale for the doctor,I had to stand with my ten toes on the scale for the doctor,Stand Ten Toes,chill,clear,True
I'm lowkey hungover but I'll be there ight,I'm somewhat hungover but I will be there anyway,IGHT,playful,clear,False
I need to respond to this email RSN,I need to respond to this email right now,RSN,dramatic,ambiguous,True
"I'm lowkey salty you got tickets, but dilligas, I'll catch the stream","I'm a little upset you got tickets, but it doesn't matter, I'll watch the stream",DILLIGAS,playful,edge,False
"Stop stalling, I'm action ready to get this over with","Stop delaying, I am ready to take action and finish this",Action Ready,annoyed,clear,False
"This fire drop is H2CUS, can't wait to cop it!","This excellent release is hilarious, I'm excited to buy it!",H2CUS,hype,clear,False
That's so Z of you to finally show up an hour late,That's so typical of you to finally show up an hour late,Z,sarcastic,edge,False
You're ignoring me and it's literally killing me EOM,You're ignoring me and that's the end of my message.,EOM,dramatic,clear,False
I'm lowkey nervous around ppl in the lab,I am secretly nervous around people in the laboratory,PPL,deadpan,clear,True
I'm so my own worst critic it's somy,I'm my own worst critic to an excessive degree,SOMY,deadpan,clear,False
This homework is GIGO,This homework is garbage in garbage out,GIGO,deadpan,clear,False
This song is not a BOP at all,This song is really bad,BOP,annoyed,clear,False
You're the best TYFC for helping me move,Thank you so much for helping me move,TYFC,affectionate,edge,False
"You're way out of line with that take, WAYF","You're completely wrong with that opinion, what's wrong with you",WAYF,annoyed,clear,False
I'll catch you on the L8RG8R at the party tonight,I'll catch you on the late greatest robot at the party tonight,L8RG8R,dramatic,ambiguous,True
I'm having dinner with my fam tonight,I'm having dinner with my family tonight,FAM,annoyed,clear,True
This party is about to take off,This party is about to become very exciting,Take Off,deadpan,clear,False
You're zero chill for roasting me like that,You're being extremely honest and teasing me without holding back,Zero Chill,affectionate,ambiguous,False
"If you're really into me, keep it 100 and tell me now","If you really like me, be completely honest and tell me now",Keep It 100,dramatic,clear,False
This concert is peak era,This concert is the best it will ever be,Peak Era,dramatic,ambiguous,False
I'm low-key obsessed with TravelTok,I'm secretly obsessed with travel videos on TikTok,TravelTok,playful,clear,False
You're being outta pocket for thinking I'd forget your birthday,You're being ridiculous for thinking I'd forget your birthday,outta pocket,affectionate,clear,False
You're lowkey my crush and your style has so much drip,You're secretly my crush and your style is very impressive,Drip,hype,clear,False
Stop being GS and help me with this assignment,Stop being genuinely sorry and help me with this assignment,GS,annoyed,clear,False
"You're lowkey fire and I'm so here for it, no cap, you're my STW","You're really attractive and I strongly support it, you're my summer to winter",STW,hype,clear,False
"I'm OATUS for the weekend, gonna play some games","I'm out of the office or unavailable for the weekend, going to play some games",OATUS,chill,clear,False
You're giving me COH just by existing near me,You're giving me chronic obsessive thoughts just by being near me,COH,dramatic,clear,False
"It's your birthday and I'm hyped to celebrate, H-FDAY to my ride or die","It's your birthday and I'm excited to celebrate, happy birthday to my best friend",H-FDAY,hype,clear,False
"You're such a WYSIWYG, always keeping it real with me","You're so genuine, always being true to yourself around me",WYSIWYG,affectionate,edge,False
"Your take on the new policy is a Stable Build, no cap",Your opinion on the new policy is very well thought out and solid,Stable Build,dramatic,edge,False
Dude can you STFU for a sec,Can you please be quiet for a moment,STFU,chill,clear,False
"Dude's TFF, he's been playing for hours","The guy is totally focused, he's been playing for hours",TFF,chill,ambiguous,False
I saw a sign that said GRWG on the construction site,I saw a sign that said growing on the construction site,GRWG,annoyed,clear,True
"Got a notification ping from my ex, how original","I received a message from my ex, which is not surprising at all",Notification Ping,sarcastic,ambiguous,False
I just found out I got rejected and I'm about to SIT in my room all day,I just found out I got rejected and I'm going to stay in my room all day,SIT,dramatic,clear,False
This no-scope was absolute ACC!,This no-scope shot was incredibly accurate!,ACC,dramatic,clear,False
I'm farming passive income from these noobs,I'm easily earning points from these inexperienced players,Passive Income,deadpan,clear,False
"My life is a mess, still tying up loose ends","My life is chaotic, I am resolving unfinished business",Loose Ends,dramatic,ambiguous,False
"I'm lowkey tired, TTYL","I'm a little tired, I will talk to you later",TTYL,playful,edge,False
I just got gyatt by my ex's new relationship post,I just got massively upset by my ex's new relationship post,gyatt,dramatic,clear,False
You carried us so hard LYSM,"You carried us so hard, love you so much",LYSM,deadpan,clear,False
Lowkey just got swept up in a perfect storm of heavy rain and strong winds,I was caught in a perfect storm of heavy rain and strong winds,Perfect Storm,annoyed,edge,True
I gave my aunt a big MWAH on the cheek,I gave my aunt a loud kissing sound on the cheek,MWAH,deadpan,ambiguous,True
Your take is grounded,Your opinion is realistic and based on facts,Grounded,deadpan,edge,False
"So tea, just got tickets to Billie's concert tonight",I just found out I got tickets to Billie's concert tonight,so tea,hype,ambiguous,False
"You're so extra, nm I'm good","You're being overly dramatic, no matter, I'm fine",NM,sarcastic,ambiguous,False
"He's been ignoring me all day, he's basically deleted","He's been ignoring me all day, he's essentially ghosting me",Deleted,annoyed,clear,False
The Illuminati is pushing for a NWO,The Illuminati is pushing for a New World Order,NWO,dramatic,edge,True
I'm such an alpha for soloing this raid,I'm extremely skilled for completing this challenging game level alone,alpha,deadpan,clear,False
My brother is such a Chad for eating that huge burger in one sitting,My brother is really confident and impressive for eating that huge burger in one sitting,Chad,playful,clear,False
My little bro is leveling up in fortnite let him cook,"My little brother is doing really well in fortnite, let him keep playing",let him cook,affectionate,clear,False
I'm gonna mute the drama and focus on my goals,I will ignore the drama and focus on my goals,Mute,chill,ambiguous,False
I'm in a mega zone and can't even reply to this right now,I'm extremely focused and can't respond to this at the moment,mega zone,annoyed,ambiguous,False
I just got a ticket for nothing WUT is wrong with this cop,"I just got a ticket for no reason, what is wrong with this police officer",WUT,annoyed,clear,False
I got receipts on you saying that last week,I have proof that you said that last week,Receipts,deadpan,ambiguous,False
That new sneaker drop is air,That new sneaker release is not impressive,AIR,chill,edge,False
"I'm lowkey nervous about asking you out, no cap, 555","I'm honestly nervous about asking you out, no exaggeration, seriously",555,deadpan,clear,False
Ion know what's going on tonight,I have no idea what's happening tonight,Ion,deadpan,clear,False
"You're my SS, can't stop thinking of you","You're my soulmate, I cannot stop thinking of you",SS,affectionate,clear,False
He's been living rent free in my head since the argument,He's been constantly on my mind since we argued,Rent free,annoyed,clear,False
Want to catch up after ignoring me all week,You ignored me all week and now you want to talk,Catch Up,sarcastic,clear,False
TIA for not responding to my texts,Thanks in advance for not responding to my texts,TIA,annoyed,edge,False
"That new anime is keyme, I'm lowkey obsessed","That new anime is really cool, I'm secretly obsessed",KEYME,playful,ambiguous,False
"Stop being so extra, you're being UDM about the party","Stop being so dramatic, you're overreacting about the party",UDM,annoyed,ambiguous,False
Just got the new gaming chair and it's lowkey CFY,Just got the new gaming chair and it's really confirming your flex,CFY,playful,ambiguous,False
"I'm taking my bae, a big adorable elephant, to the zoo","I'm taking my baby, a large adorable elephant, to the zoo",BAE,annoyed,edge,True
I'm lowkey bad at gaming,I have a skill issue with video games,Skill Issue,hype,ambiguous,True
I'm unfollowing the fashion blogger,I am unfollowing the fashion blogger on social media to stop seeing their posts,Unfollowing,annoyed,clear,True
I just spent my entire paycheck on video games XD,I just spent my entire paycheck on video games and I am not amused,XD,deadpan,ambiguous,False
I was searching for the WRU@ symbol on my keyboard,I was searching for the where are you at symbol on my keyboard,WRU@,dramatic,clear,True
"This new drop is ED, I need it ASAP","This new release is extremely desirable, I need it as soon as possible",ED,hype,clear,False
You're my inner drive to get through this week,You're my motivation to get through this week,Inner Drive,playful,clear,False
I'm lowkey nervous BRBB if you don't respond,I'm secretly nervous and will be bothered if you don't respond,BRBB,deadpan,edge,False
I just got ratioed so hard on Twitter it's a total FRT,I just got completely humiliated on Twitter it's a total disaster,FRT,dramatic,clear,False
This new skin is straight fire D/L,This new skin is really cool and definitely worth downloading,D/L,hype,clear,False
I just made an impulse buy and asked you to hangout,I spontaneously asked you to hang out on a whim,Impulse Buy,chill,clear,False
I'm checking the IAO options for our trip,I'm checking the International Astronomical Observatory options for our trip,IAO,chill,clear,True
I just got a ticket LOLH my life is so unfair,I just got a ticket and honestly my life is so unfair,LOLH,annoyed,clear,False
You're so extra for thinking I'm into you over VoIP,You're overreacting for thinking I like you just because we talk online,VoIP,playful,edge,False
Lowkey hung out with EM at the mall yesterday,I secretly spent time with them at the mall yesterday,EM,chill,ambiguous,False
My life is a mess WITP,"My life is a mess, what's the point",WITP,dramatic,ambiguous,False
PLS come over tonight,Please come over tonight,PLS,affectionate,clear,False
Smooth move posting that on my birthday,It was really thoughtless of you to post that on my birthday,Smooth Move,annoyed,ambiguous,False
I just hit the reset button on my controller,I just pressed the reset button on my controller,Reset Button,hype,clear,True
I just dropped new fits and got a system update on my whole style,I just bought new clothes and completely changed my fashion sense,System Update,playful,ambiguous,False
Meet you at the park TBC,Meet you at the park to be confirmed,TBC,affectionate,ambiguous,False
I just facepalm at your gameplay,I am extremely frustrated with the way you are playing,Facepalm,annoyed,ambiguous,False
This comment section is the Chaos Core,This comment section is completely chaotic and unpredictable,Chaos Core,playful,edge,False
You're showing some serious keyboard courage by roasting him online,You're being very brave by insulting him on the internet,Keyboard Courage,playful,ambiguous,False
"You're lowkey my CWD, wanna hang out","You are secretly my closest person, want to spend time together",CWD,chill,edge,False
You're totally missing the inside joke with that comment,You don't understand the private humorous reference being made,Inside Joke,annoyed,clear,False
This new policy is totally tweaking my vibe,This new policy is completely ruining my mood,Tweaking,sarcastic,clear,False
"Stop being so extra, BOSMKL is literally every drama channel now","Stop being so dramatic, every YouTube drama channel is now doing the same thing",BOSMKL,annoyed,ambiguous,False
"That's a hot take, dude, saying Mario is better than Link","That's a bold opinion, saying Mario is better than Link",Hot Take,playful,clear,False
Lowkey hungover but my sis is dragging me to brunch,I am secretly hungover but my friend is forcing me to go to brunch,sis,chill,edge,False
U just got destroyed in that last match,You just got completely defeated in that last match,U,dramatic,clear,False
The old warehouse had a gaslight that still worked,The old warehouse had a gaslight that still worked,Gaslight,dramatic,clear,True
You're such a noob for thinking I'd ever go out with you,You're really inexperienced for thinking I'd ever date you,Noob,dramatic,edge,False
ATSITS you actually think that's a good idea,Are you seriously suggesting that's a good idea,ATSITS,sarcastic,ambiguous,False
I was rolling on the floor laughing my ass off,I was literally rolling on the floor laughing my ass off,ROFLMAO,hype,ambiguous,True
"Dude, your gameplay is totally outta pocket","Dude, your gameplay is completely unreasonable and ridiculous",outta pocket,sarcastic,clear,False
You're the main slayer of my heart,You're the most amazing person I've fallen for,main slayer,hype,edge,False
Dude just got an LGH for his gaming setup,Dude just got a lowkey huge upgrade for his gaming setup,LGH,chill,edge,False
Just got rejected from my dream job and I'm ice cold about it,I just got rejected from my dream job and I'm completely unbothered by it,Ice Cold,deadpan,ambiguous,False
I'm low on health so I'm gonna C/P to the next checkpoint,I'm low on health so I'm going to camp and pause to the next checkpoint,C/P,chill,clear,False
This BBN wifi is so slow,This bad broadband network wifi is so slow,BBN,annoyed,clear,False
"I'm so hyped to be doing homework all night, what a vat life","I'm really unhappy to be doing homework all night, what a terrible life",VAT,sarcastic,clear,False
I'm going ghost mode for the weekend,I will be unreachable and unresponsive for the weekend,Ghost Mode,chill,edge,False
"Ugh, my wifi is so bad it's S2S","Ugh, my wifi is so bad it's same to same, not improving at all",S2S,annoyed,ambiguous,False
I just clutched up and got the win DYJHIW,I just managed to win despite playing poorly at first,DYJHIW,hype,clear,False
This team has so many pink flags already,This team is already showing many warning signs of being untrustworthy or toxic,Pink flags,annoyed,clear,False
This post is straight fire and I'm in the Seen Zone,This post is excellent and I've definitely seen it,Seen Zone,hype,clear,False
You're such a JAC for playing video games all night,You're such a joke for playing video games all night,JAC,playful,edge,False
I'm lowkey salty my B/F just teabagged me,I'm annoyed my best friend just teasingly harassed me in the game,B/F,chill,edge,False
This post is straight fire but the comments are the main menu,This post is excellent but the comments are the most interesting part,Main Menu,deadpan,ambiguous,False
"You're really gonna try to flirt with me after ignoring me all week, I'm giving you major side eye",I'm highly skeptical of your sudden interest in me after ignoring me,side eye,sarcastic,ambiguous,False
You're so extra ROTFL,You're being ridiculous and it's hilarious,ROTFL,playful,ambiguous,False
"I'm done with this drama, LYLAS","I'm done with this drama, love you like a sister",LYLAS,dramatic,clear,False
"I just got destroyed by a smurf, NFM","I just got destroyed by a highly skilled player, not my fault",NFM,annoyed,edge,False
That plot twist was GGMSOT and I'm still reeling,"That plot twist was genuinely good, mind-shatteringly outstanding, and I'm still reeling",GGMSOT,dramatic,edge,False
"I'm low on hp, my healing journey starts now","I am low on health points, my recovery process begins now",Healing Journey,dramatic,edge,True
AFAIK she's lowkey coming to the party tonight,"As far as I know, she is secretly planning to come to the party tonight",AFAIK,affectionate,edge,False
I'm lowkey hungover so KMK if I'm late to the party,I'm quietly hungover so kill me if I'm late to the party,KMK,chill,clear,False
You've been living rent free in my head all day,I have been thinking about you constantly all day,Rent free,affectionate,ambiguous,False
I'm lowkey nervous around you,"I feel anxious when I am near you, like a wombat sensing danger",WOMBAT,sarcastic,edge,True
Can you pls stop team killing me PLMK,"Can you please stop team killing me, let me know",PLMK,annoyed,clear,False
You're GTM and I'm lowkey obsessed with you,You're great to me and I'm secretly obsessed with you,GTM,affectionate,clear,False
I'm so bad at this game idk how you guys carry me,I'm really bad at this game and I don't know how you guys manage to help me win,idk,affectionate,clear,False
You're my reset button after a long day,You're the one who helps me start over and feel better,Reset Button,hype,ambiguous,False
You're such a B8 for sending me that funny meme,You're such a sweetheart for sending me that funny meme,B8,affectionate,clear,False
I'm UFWM with this math homework,I am unwilling to do this math homework,UFWM,deadpan,ambiguous,False
You're such a wallflower for not joining the game tonight,You're really shy for not joining the game tonight,Wallflower,playful,clear,False
"This new game is EI, I've been grinding all night!","This new game is extremely intense, I've been playing all night!",EI,hype,ambiguous,False
I'm putting on my game face,I am applying paint to my face for the game costume,Game Face,affectionate,clear,True
"This new gaming chair is TIR, just got it and I'm never leaving my desk!","This new gaming chair is the best, just got it and I'm never leaving my desk!",TIR,hype,ambiguous,False
"This concert is going to be WWNC, can't wait to see them perform live","This concert is going to be what we never could, can't wait to see them perform live",WWNC,hype,clear,False
The tree provided shade af from the sun,The tree provided a lot of shade from the sun,shade af,annoyed,clear,True
I'm overstimulated by all these notifications,I'm feeling overwhelmed by all these alerts,Overstimulated,dramatic,ambiguous,False
"You're a real one for eating that ghost pepper, that's a based take","You're really cool for eating that ghost pepper, that's a great attitude",Based Take,affectionate,ambiguous,False
You're lowkey a legend WITP always dropping fire content,You are a legend with me always posting great content,WITP,affectionate,clear,False
I'm lowkey excited to see you at the X-ray lab tomorrow,I'm secretly excited to see you at the medical imaging lab tomorrow,X,dramatic,clear,True
I just met my Twin Flame at the coffee shop,I just met someone I feel a strong romantic connection with at the coffee shop,Twin Flame,deadpan,clear,False
We've got the Open Road to the finals now that our squad's on fire,We have a clear path to the finals since our team is performing exceptionally well,Open Road,dramatic,ambiguous,False
The nuclear testing site is contaminated,The nuclear testing site is contaminated,NTS,sarcastic,ambiguous,True
I just saw you and I got brain freeze,I just saw you and I was completely stunned,Brain Freeze,dramatic,clear,False
Just had the best night with my BF2,Just had the best night with my best friend forever,BF2,affectionate,ambiguous,False
I'm experiencing a major phase shift after seeing that fire post,That amazing post completely changed my mood and perspective suddenly,Phase Shift,playful,edge,False
My team crushed the quiz and stay winning,My team did extremely well on the quiz and continues to be successful,Stay Winning,deadpan,clear,False
You're UNCRTN the best gamer I know,You're undoubtedly the best gamer I know,UNCRTN,affectionate,clear,False
You're making me unalive with how cute you are,You're making me extremely happy with how cute you are,Unalive,playful,ambiguous,False
Dude is being extra with his complaints,The guy is being excessively annoying with his complaints,EXTRA,annoyed,ambiguous,False
I'm lowkey an early bird and caught a worm at sunrise,I am literally an early bird and caught a worm at sunrise,Early Bird,sarcastic,ambiguous,True
Turn up the music AMAP we're getting this party started,Turn up the music as much as possible we're getting this party started,AMAP,hype,ambiguous,False
DXNRY just clutched that match for us,Our darling just made a great play to win the match for us,DXNRY,affectionate,clear,False
Lowkey think the artist missed the big picture with this mural,I think the artist missed the big picture with this mural,Big Picture,playful,clear,True
I'm so done with this drama RTHX,"I'm so done with this drama, are you though",RTHX,dramatic,clear,False
I just got a sudden boost and now I'm crushing this gaming session,I just got a surprising energy surge and now I'm dominating this gaming session,Sudden Boost,hype,clear,False
I'm so over people trying to ship me and my best friend,I'm tired of people trying to pair me and my best friend romantically,Ship,annoyed,clear,False
"Ugh, stop hitting me up, you're such a fake friend now","Stop contacting me, you're not a real friend anymore",Fake Friend,annoyed,edge,False
You got caught lacking with those weak gaming skills,You were unprepared with those weak gaming skills,Caught Lacking,playful,clear,False
I'm lowkey excited for the GMBA program at Harvard,I am secretly excited for the Graduate Master of Business Administration program at Harvard,GMBA,affectionate,clear,True
"You posted this at bad timing, I'm lowkey hungover","You posted this at an unfortunate time, I'm feeling a bit unwell",Bad Timing,affectionate,ambiguous,False
I'm getting an inbox overflow with all these sick gaming invites,I'm receiving a large number of exciting gaming invitations,Inbox Overflow,hype,clear,False
You're such a SAL for sending me that funny meme,You're such a silly awesome loser for sending me that funny meme,SAL,affectionate,clear,False
"This win is THT, we just destroyed their team","This win is the highlight of the match, we just destroyed their team",THT,hype,clear,False
This new video game is a total drag to wait for,This new video game is so boring to wait for,Drag,hype,ambiguous,False
You're lowkey the best and I'm sending you MUAH,You're secretly the best and I'm sending you lots of love,MUAH,affectionate,ambiguous,False
You're being super DFL for not knowing that already,You're being really clueless for not knowing that already,DFL,annoyed,clear,False
You're so extra for thinking I'd BYOB to your party,You're being dramatic thinking I'd bring my own boyfriend to your party,BYOB,sarcastic,edge,False
hit me up wan2tlk about that new game,let's talk about that new game,WAN2TLK,chill,ambiguous,False
You're lowkey my LOTI for helping me with that math problem,You're secretly my lord of the internet for helping me with that math problem,LOTI,affectionate,clear,False
"I'm going to the party anyway, IDC what you think","I'm going to the party anyway, I don't care what you think",IDC,playful,clear,False
I'm lowkey excited bc you're coming over tonight,I'm quietly excited because you're coming over tonight,BC,affectionate,edge,False
This new drop is boosted and I need it now,This new release is greatly exaggerated and I need it immediately,Boosted,dramatic,clear,False
"I'm living that abundance mindset, no cap",I have a very positive and generous outlook on life,Abundance Mindset,chill,edge,False
I'm trying to fit into this suitm for the wedding,I'm trying to fit into this suit for the wedding,SUITM,sarcastic,edge,True
The most handsome otter of the year is MHOTY,The most handsome otter of the year is the most handsome otter of the year,MHOTY,hype,ambiguous,True
"I just got destroyed, what a great RMLB player I am","I just got destroyed, what a great player I am, not really",RMLB,sarcastic,clear,False
You're way ahead if you think I'm that easy to get,You're overestimating yourself if you think I'm that easily won over,Way Ahead,playful,ambiguous,False
You're seriously URSKTM if you think I'll fall for you,You're seriously out of your skull if you think I'll fall for you,URSKTM,dramatic,clear,False
"You really think that's a good idea, it's gonna wipe out your whole weekend","You really think that is a good idea, it will completely ruin your whole weekend",Wipe Out,sarcastic,clear,False
"This is the key moment, will you go to prom with me","This is the most important moment, will you go to prom with me",Key Moment,dramatic,clear,False
You're lowkey New Money to me,You are secretly very attractive to me,New Money,affectionate,edge,False
"Just dropped the most fire track ever, TL;DR it's a game changer","I just released a very exciting new song, it is extremely significant",TL;DR,hype,ambiguous,False
"Dude's been team killing me all game, guess we have a Karmic Relationship now","This guy has been attacking me on purpose all game, supposedly we're even now",Karmic Relationship,sarcastic,edge,False
"You got destroyed, GGU2 for trying though","You got destroyed, good game too for trying though",GGU2,sarcastic,clear,False
You're such a tea spiller for posting that drama,You're revealing all the juicy gossip by posting that information,Tea Spiller,playful,ambiguous,False
I'm taking a deep breath and somehow still expected to care,I am being forced to tolerate this and remain calm,Deep Breath,sarcastic,edge,False
I need to see you RFN and grab some coffee,I need to see you right now and grab some coffee,RFN,playful,clear,False
"I'm so done with this homework, yarly I have better things to do",I'm extremely annoyed that I have to do this homework when I have better things to do,YARLY,annoyed,ambiguous,False
This comment section is a total SNAFU,This comment section is completely chaotic and confusing,SNAFU,deadpan,clear,False
"I'm feeling so done with this drama, it's been going on for weeks and I'm literally IMTM",I am extremely tired of this situation and at my wit's end,IMTM,dramatic,ambiguous,False
Can you wrap it up with the drama already,Can you please stop creating such a fuss now,Wrap It Up,sarcastic,edge,False
"This drop is fire, UGTBK when it releases!","This release is exciting, you gotta be kidding when it comes out!",UGTBK,hype,ambiguous,False
You're being super extra and now I'm in dark mode,You're being overly dramatic and now I'm annoyed,Dark Mode,annoyed,clear,False
My aunt is such a gal for lending me her car,My aunt is really cool for lending me her car,GAL,chill,edge,False
That movie was so boring NT,That movie was so boring and that's not true,NT,deadpan,clear,False
The firework was bussin and exploded into a thousand pieces,The firework was exploding and broke into a thousand pieces,Bussin,affectionate,ambiguous,True
"This party is so SQ, just a bunch of people standing alone","This party is extremely boring, with everyone standing alone",SQ,sarcastic,ambiguous,False
I'm lowkey hyped to bang 30s at the skatepark today,I'm quietly excited to do thirty tricks in a row at the skatepark today,Bang 30s,playful,clear,False
"Dude, I just ate a whole pizza by myself, that's TMI I know","Dude, I just ate a whole pizza by myself, that's too much information I know",TMI,dramatic,clear,False
Your post just changed the whole game plan,Your post completely altered my strategy or approach,Game Plan,dramatic,ambiguous,False
You're soft launching our relationship on the gram,You're subtly posting about us on Instagram without directly admitting we're dating,Soft Launching,playful,ambiguous,False
I'm lowkey entering my Productivity Era,I am somewhat starting to be highly productive,Productivity Era,playful,ambiguous,False
I threw so shade at that tree it blocked the whole window,I threw so much shade at that tree it blocked the whole window,so shade,hype,ambiguous,True
I'm going to stay winning at this chess tournament,I will continue to achieve victory at this chess competition,Stay Winning,playful,clear,True
Can you please stop sharing NSFW gamer tags in chat,Can you please stop sharing inappropriate gamer tags in chat,NSFW,annoyed,ambiguous,False
You're living rent free in my head 24/7,You're always on my mind,rent free,hype,ambiguous,False
"You're always on the main menu, sis","You're always my top priority, sister",Main Menu,affectionate,edge,False
"I'm so done with this test, SYL I'm literally failing","I'm so done with this test, see you later I'm literally failing",SYL,sarcastic,edge,False
"I'm so done with this homework, it's all the same stuff ATSITS","I'm so done with this homework, it's all the same stuff all the time",ATSITS,annoyed,clear,False
This protest is the key moment we've been waiting for,This protest is the crucial turning point we have been waiting for,Key Moment,dramatic,edge,False
I'm lowkey hungover and my j00r is killing me,I'm quietly hungover and my head is killing me,j00r,deadpan,clear,False
You're gonna choke me with all these cute pics,You're overwhelming me with all these adorable pictures,Choke,affectionate,clear,False
